"order_id","order_date","order_year","order_month","order_day","order_quarter","order_week","order_day_week","ship_date","ship_mode","customer_id","customer_name","segment_name","product_id","product_name","category_name","subcat_name","postal_code","country_name","state_name","city_name","region_name","manager_name","sales","quantity","discount","profit","status_order"
CA-2019-156237,2019-09-14,2019,9,14,3,37,6,2019-09-15,First Class,PS-18760,Pamela Stobb,Consumer,TEC-MA-10002930,Ricoh - Ink Collector Unit for GX3000 Series Printers,Technology,Machines,19140,United States,Pennsylvania,Philadelphia,East,Chuck Magee,12.5850,1,0.70,-18.0385000000000000,No
US-2019-111423,2019-08-17,2019,8,17,3,33,6,2019-08-19,First Class,EH-13765,Edward Hooks,Corporate,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,13601,United States,New York,Watertown,East,Chuck Magee,895.9200,5,0.20,302.3730000000000000,No
CA-2018-138968,2018-03-15,2018,3,15,1,11,4,2018-03-16,First Class,FC-14335,Fred Chung,Corporate,OFF-BI-10003529,Avery Round Ring Poly Binders,Office Supplies,Binders,94110,United States,California,San Francisco,West,Anna Andreadi,4.5440,2,0.20,1.6472000000000000,No
CA-2018-138968,2018-03-15,2018,3,15,1,11,4,2018-03-16,First Class,FC-14335,Fred Chung,Corporate,FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,Chairs,94110,United States,California,San Francisco,West,Anna Andreadi,1352.0320,4,0.20,84.5020000000000000,No
CA-2017-134943,2017-12-05,2017,12,5,4,49,2,2017-12-06,First Class,SU-20665,Stephanie Ulpright,Home Office,OFF-BI-10000666,Surelock Post Binders,Office Supplies,Binders,48104,United States,Michigan,Ann Arbor,Central,Kelly Williams,152.8000,5,0.00,76.4000000000000000,No
CA-2017-104052,2017-03-01,2017,3,1,1,9,3,2017-03-02,First Class,TP-21565,Tracy Poddar,Corporate,TEC-PH-10003215,Jackery Bar Premium Fast-charging Portable Charger,Technology,Phones,75019,United States,Texas,Coppell,Central,Kelly Williams,95.8400,4,0.20,34.7420000000000000,No
US-2019-111423,2019-08-17,2019,8,17,3,33,6,2019-08-19,First Class,EH-13765,Edward Hooks,Corporate,FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chairs,13601,United States,New York,Watertown,East,Chuck Magee,462.5640,2,0.10,97.6524000000000000,No
CA-2019-156237,2019-09-14,2019,9,14,3,37,6,2019-09-15,First Class,PS-18760,Pamela Stobb,Consumer,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,19140,United States,Pennsylvania,Philadelphia,East,Chuck Magee,113.3720,2,0.30,-29.1528000000000000,No
CA-2019-156237,2019-09-14,2019,9,14,3,37,6,2019-09-15,First Class,PS-18760,Pamela Stobb,Consumer,OFF-BI-10003707,Aluminum Screw Posts,Office Supplies,Binders,19140,United States,Pennsylvania,Philadelphia,East,Chuck Magee,18.3120,4,0.70,-12.2080000000000000,No
CA-2019-110821,2019-08-07,2019,8,7,3,32,3,2019-08-08,First Class,CK-12205,Chloris Kastensmidt,Consumer,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,75081,United States,Texas,Dallas,Central,Kelly Williams,119.4480,3,0.20,-13.4379000000000000,No
CA-2019-110821,2019-08-07,2019,8,7,3,32,3,2019-08-08,First Class,CK-12205,Chloris Kastensmidt,Consumer,OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,Storage,75081,United States,Texas,Dallas,Central,Kelly Williams,118.1600,2,0.20,-25.1090000000000000,No
CA-2019-156237,2019-09-14,2019,9,14,3,37,6,2019-09-15,First Class,PS-18760,Pamela Stobb,Consumer,FUR-FU-10001057,Tensor Track Tree Floor Lamp,Furniture,Furnishings,19140,United States,Pennsylvania,Philadelphia,East,Chuck Magee,127.9360,8,0.20,4.7976000000000000,No
CA-2019-106355,2019-04-02,2019,4,2,2,14,2,2019-04-05,First Class,AT-10435,Alyssa Tate,Home Office,OFF-AR-10000246,Newell 318,Office Supplies,Art,6450,United States,Connecticut,Meriden,East,Chuck Magee,11.1200,4,0.00,2.8912000000000000,No
CA-2019-156237,2019-09-14,2019,9,14,3,37,6,2019-09-15,First Class,PS-18760,Pamela Stobb,Consumer,TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,19140,United States,Pennsylvania,Philadelphia,East,Chuck Magee,241.1700,2,0.70,-168.8190000000000000,No
CA-2018-162901,2018-03-28,2018,3,28,1,13,3,2018-03-31,First Class,AS-10045,Aaron Smayling,Corporate,OFF-ST-10000649,Hanging Personal Folder File,Office Supplies,Storage,22204,United States,Virginia,Arlington,South,Cassandra Brandow,31.4000,2,0.00,7.8500000000000000,No
CA-2019-120719,2019-03-23,2019,3,23,1,12,6,2019-03-26,First Class,SJ-20125,Sanjit Jacobs,Home Office,OFF-BI-10002103,Cardinal Slant-D Ring Binder. Heavy Gauge Vinyl,Office Supplies,Binders,98105,United States,Washington,Seattle,West,Anna Andreadi,34.7600,5,0.20,11.2970000000000000,No
CA-2019-121538,2019-11-28,2019,11,28,4,48,4,2019-12-01,First Class,RH-19495,Rick Hansen,Consumer,OFF-PA-10004071,Eaton Premium Continuous-Feed Paper. 25% Cotton. Letter Size. White. 1000 Shts/Box,Office Supplies,Paper,80219,United States,Colorado,Denver,West,Anna Andreadi,88.7680,2,0.20,31.0688000000000000,No
CA-2019-155740,2019-07-30,2019,7,30,3,31,2,2019-08-02,First Class,TC-21475,Tony Chapman,Home Office,OFF-BI-10001071,GBC ProClick Punch Binding System,Office Supplies,Binders,44107,United States,Ohio,Lakewood,East,Chuck Magee,76.7760,4,0.70,-53.7432000000000000,No
US-2019-104661,2019-01-15,2019,1,15,1,3,2,2019-01-18,First Class,TB-21250,Tim Brockman,Consumer,OFF-BI-10001597,"Wilson Jones Ledger-Size. Piano-Hinge Binder. 2"". Blue",Office Supplies,Binders,78745,United States,Texas,Austin,Central,Kelly Williams,32.7840,4,0.80,-52.4544000000000000,No
US-2019-104661,2019-01-15,2019,1,15,1,3,2,2019-01-18,First Class,TB-21250,Tim Brockman,Consumer,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,78745,United States,Texas,Austin,Central,Kelly Williams,47.9840,2,0.20,14.3952000000000000,No
US-2019-104661,2019-01-15,2019,1,15,1,3,2,2019-01-18,First Class,TB-21250,Tim Brockman,Consumer,TEC-AC-10002331,Maxell 74 Minute CDR. 10/Pack,Technology,Accessories,78745,United States,Texas,Austin,Central,Kelly Williams,62.5920,8,0.20,13.3008000000000000,No
US-2019-141509,2019-09-29,2019,9,29,3,39,7,2019-10-01,First Class,SC-20575,Sonia Cooley,Consumer,OFF-AR-10002067,Newell 334,Office Supplies,Art,90036,United States,California,Los Angeles,West,Anna Andreadi,99.2000,5,0.00,25.7920000000000000,No
CA-2016-156545,2016-02-27,2016,2,27,1,8,6,2016-03-03,First Class,JS-16030,Joy Smith,Consumer,OFF-AR-10003560,Zebra Zazzle Fluorescent Highlighters,Office Supplies,Art,43229,United States,Ohio,Columbus,East,Chuck Magee,19.4560,4,0.20,3.4048000000000000,No
CA-2018-161662,2018-02-07,2018,2,7,1,6,3,2018-02-09,First Class,BE-11410,Bobby Elias,Consumer,OFF-PA-10003465,Xerox 1912,Office Supplies,Paper,43130,United States,Ohio,Lancaster,East,Chuck Magee,30.3520,2,0.20,10.6232000000000000,No
US-2017-138716,2017-09-17,2017,9,17,3,37,7,2017-09-20,First Class,CS-11845,Cari Sayre,Corporate,OFF-BI-10001628,"Acco Data Flex Cable Posts For Top & Bottom Load Binders. 6"" Capacity",Office Supplies,Binders,98105,United States,Washington,Seattle,West,Anna Andreadi,25.0320,3,0.20,7.8225000000000000,No
US-2019-104661,2019-01-15,2019,1,15,1,3,2,2019-01-18,First Class,TB-21250,Tim Brockman,Consumer,OFF-BI-10001098,Acco D-Ring Binder w/DublLock,Office Supplies,Binders,78745,United States,Texas,Austin,Central,Kelly Williams,4.2760,1,0.80,-6.6278000000000000,No
US-2016-130358,2016-06-23,2016,6,23,2,25,4,2016-06-26,First Class,DL-13330,Denise Leinenbach,Consumer,OFF-AR-10002766,Prang Drawing Pencil Set,Office Supplies,Art,28027,United States,North Carolina,Concord,South,Cassandra Brandow,20.0160,9,0.20,1.7514000000000000,No
CA-2018-120250,2018-09-19,2018,9,19,3,38,3,2018-09-22,First Class,AP-10720,Anne Pryor,Home Office,FUR-FU-10003424,Nu-Dell Oak Frame,Furniture,Furnishings,19140,United States,Pennsylvania,Philadelphia,East,Chuck Magee,25.6320,3,0.20,3.8448000000000000,No
US-2016-130358,2016-06-23,2016,6,23,2,25,4,2016-06-26,First Class,DL-13330,Denise Leinenbach,Consumer,OFF-SU-10002522,Acme Kleen Earth Office Shears,Office Supplies,Supplies,28027,United States,North Carolina,Concord,South,Cassandra Brandow,3.1040,1,0.20,0.3492000000000000,No
CA-2017-111325,2017-02-27,2017,2,27,1,9,1,2017-02-28,First Class,BT-11395,Bill Tyler,Corporate,OFF-BI-10000343,"Pressboard Covers with Storage Hooks. 9 1/2"" x 11"". Light Blue",Office Supplies,Binders,16602,United States,Pennsylvania,Altoona,East,Chuck Magee,4.4190,3,0.70,-3.3879000000000000,No
CA-2017-111325,2017-02-27,2017,2,27,1,9,1,2017-02-28,First Class,BT-11395,Bill Tyler,Corporate,OFF-AR-10002257,Eldon Spacemaker Box. Quick-Snap Lid. Clear,Office Supplies,Art,16602,United States,Pennsylvania,Altoona,East,Chuck Magee,16.0320,6,0.20,2.2044000000000000,No
CA-2018-145303,2018-08-28,2018,8,28,3,35,2,2018-08-31,First Class,TP-21415,Tom Prescott,Consumer,OFF-BI-10000050,Angle-D Binders with Locking Rings. Label Holders,Office Supplies,Binders,75081,United States,Texas,Dallas,Central,Kelly Williams,13.1400,9,0.80,-21.6810000000000000,No
CA-2018-145303,2018-08-28,2018,8,28,3,35,2,2018-08-31,First Class,TP-21415,Tom Prescott,Consumer,OFF-BI-10002414,GBC ProClick Spines for 32-Hole Punch,Office Supplies,Binders,75081,United States,Texas,Dallas,Central,Kelly Williams,10.0240,4,0.80,-16.5396000000000000,No
CA-2018-145303,2018-08-28,2018,8,28,3,35,2,2018-08-31,First Class,TP-21415,Tom Prescott,Consumer,FUR-BO-10003159,Sauder Camden County Collection Libraries. Planked Cherry Finish,Furniture,Bookcases,75081,United States,Texas,Dallas,Central,Kelly Williams,156.3728,2,0.32,-52.8908000000000000,No
CA-2018-121993,2018-06-10,2018,6,10,2,23,7,2018-06-12,First Class,JB-16000,Joy Bell-,Consumer,OFF-LA-10003720,Avery 487,Office Supplies,Labels,19140,United States,Pennsylvania,Philadelphia,East,Chuck Magee,23.6160,8,0.20,7.9704000000000000,No
CA-2017-142237,2017-07-11,2017,7,11,3,28,2,2017-07-13,First Class,CK-12595,Clytie Kelty,Consumer,OFF-BI-10004022,Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,Binders,19134,United States,Pennsylvania,Philadelphia,East,Chuck Magee,2.5020,3,0.70,-2.0016000000000000,No
CA-2018-145261,2018-12-18,2018,12,18,4,51,2,2018-12-21,First Class,AH-10120,Adrian Hane,Home Office,OFF-BI-10001670,Vinyl Sectional Post Binders,Office Supplies,Binders,97301,United States,Oregon,Salem,West,Anna Andreadi,45.2400,4,0.70,-30.1600000000000000,Yes
CA-2018-145261,2018-12-18,2018,12,18,4,51,2,2018-12-21,First Class,AH-10120,Adrian Hane,Home Office,OFF-AR-10004078,Newell 312,Office Supplies,Art,97301,United States,Oregon,Salem,West,Anna Andreadi,18.6880,4,0.20,2.3360000000000000,Yes
CA-2018-145261,2018-12-18,2018,12,18,4,51,2,2018-12-21,First Class,AH-10120,Adrian Hane,Home Office,OFF-PA-10003036,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Office Supplies,Paper,97301,United States,Oregon,Salem,West,Anna Andreadi,11.6480,2,0.20,3.7856000000000000,Yes
US-2017-164308,2017-09-24,2017,9,24,3,38,7,2017-09-27,First Class,SC-20680,Steve Carroll,Home Office,TEC-PH-10004120,AT&T 1080 Phone,Technology,Phones,74012,United States,Oklahoma,Broken Arrow,Central,Kelly Williams,821.9400,6,0.00,213.7044000000000000,No
US-2019-125213,2019-12-11,2019,12,11,4,50,3,2019-12-13,First Class,NB-18655,Nona Balk,Corporate,OFF-FA-10001561,Stockwell Push Pins,Office Supplies,Fasteners,7501,United States,New Jersey,Paterson,East,Chuck Magee,6.5400,3,0.00,2.1582000000000000,No
CA-2017-156566,2017-10-01,2017,10,1,4,39,7,2017-10-04,First Class,EM-13960,Eric Murdock,Consumer,TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,Technology,Phones,97206,United States,Oregon,Portland,West,Anna Andreadi,572.8000,2,0.20,50.1200000000000000,No
CA-2018-145261,2018-12-18,2018,12,18,4,51,2,2018-12-21,First Class,AH-10120,Adrian Hane,Home Office,TEC-AC-10000991,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Technology,Accessories,97301,United States,Oregon,Salem,West,Anna Andreadi,112.7760,3,0.20,-8.4582000000000000,Yes
CA-2018-145261,2018-12-18,2018,12,18,4,51,2,2018-12-21,First Class,AH-10120,Adrian Hane,Home Office,FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",Furniture,Tables,97301,United States,Oregon,Salem,West,Anna Andreadi,377.4500,5,0.50,-264.2150000000000000,Yes
CA-2018-145261,2018-12-18,2018,12,18,4,51,2,2018-12-21,First Class,AH-10120,Adrian Hane,Home Office,OFF-LA-10000407,Avery White Multi-Purpose Labels,Office Supplies,Labels,97301,United States,Oregon,Salem,West,Anna Andreadi,15.9360,4,0.20,5.1792000000000000,Yes
CA-2018-145261,2018-12-18,2018,12,18,4,51,2,2018-12-21,First Class,AH-10120,Adrian Hane,Home Office,TEC-PH-10004833,Macally Suction Cup Mount,Technology,Phones,97301,United States,Oregon,Salem,West,Anna Andreadi,28.6800,3,0.20,-7.1700000000000000,Yes
US-2019-109253,2019-08-21,2019,8,21,3,34,3,2019-08-22,First Class,PR-18880,Patrick Ryan,Consumer,OFF-AR-10000203,Newell 336,Office Supplies,Art,94601,United States,California,Oakland,West,Anna Andreadi,17.1200,4,0.00,4.9648000000000000,Yes
US-2019-109253,2019-08-21,2019,8,21,3,34,3,2019-08-22,First Class,PR-18880,Patrick Ryan,Consumer,TEC-PH-10004667,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,94601,United States,California,Oakland,West,Anna Andreadi,431.9680,4,0.20,37.7972000000000000,Yes
CA-2019-118213,2019-11-05,2019,11,5,4,45,2,2019-11-07,First Class,AB-10060,Adam Bellavance,Home Office,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books. 6"" x 9"". Gregg Ruled",Office Supplies,Paper,46142,United States,Indiana,Greenwood,Central,Kelly Williams,4.4100,1,0.00,2.0286000000000000,No
CA-2019-118213,2019-11-05,2019,11,5,4,45,2,2019-11-07,First Class,AB-10060,Adam Bellavance,Home Office,OFF-PA-10000565,Easy-staple paper,Office Supplies,Paper,46142,United States,Indiana,Greenwood,Central,Kelly Williams,167.9400,3,0.00,82.2906000000000000,No
CA-2019-118213,2019-11-05,2019,11,5,4,45,2,2019-11-07,First Class,AB-10060,Adam Bellavance,Home Office,OFF-PA-10003673,Strathmore Photo Mount Cards,Office Supplies,Paper,46142,United States,Indiana,Greenwood,Central,Kelly Williams,67.8000,10,0.00,31.1880000000000000,No
US-2019-109253,2019-08-21,2019,8,21,3,34,3,2019-08-22,First Class,PR-18880,Patrick Ryan,Consumer,FUR-FU-10000193,Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings,94601,United States,California,Oakland,West,Anna Andreadi,129.9200,4,0.00,10.3936000000000000,Yes
US-2019-109253,2019-08-21,2019,8,21,3,34,3,2019-08-22,First Class,PR-18880,Patrick Ryan,Consumer,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,94601,United States,California,Oakland,West,Anna Andreadi,568.7280,3,0.20,28.4364000000000000,Yes
US-2019-109253,2019-08-21,2019,8,21,3,34,3,2019-08-22,First Class,PR-18880,Patrick Ryan,Consumer,OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder. Dark Blue. 11 1/2"" X 14"" 7/8""",Office Supplies,Binders,94601,United States,California,Oakland,West,Anna Andreadi,117.1440,9,0.20,42.4647000000000000,Yes
CA-2017-120782,2017-04-28,2017,4,28,2,17,5,2017-05-01,First Class,SD-20485,Shirley Daniels,Home Office,OFF-AP-10003779,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Office Supplies,Appliances,48640,United States,Michigan,Midland,Central,Kelly Williams,186.7320,1,0.10,41.4960000000000000,No
CA-2017-120782,2017-04-28,2017,4,28,2,17,5,2017-05-01,First Class,SD-20485,Shirley Daniels,Home Office,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,48640,United States,Michigan,Midland,Central,Kelly Williams,3812.9700,3,0.00,1906.4850000000000000,No
CA-2018-145247,2018-05-05,2018,5,5,2,18,6,2018-05-07,First Class,ND-18370,Natalie DeCherney,Consumer,OFF-PA-10003641,Xerox 1909,Office Supplies,Paper,40214,United States,Kentucky,Louisville,South,Cassandra Brandow,79.1400,3,0.00,36.4044000000000000,No
CA-2018-158834,2018-03-13,2018,3,13,1,11,2,2018-03-16,First Class,TW-21025,Tamara Willingham,Home Office,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,85254,United States,Arizona,Scottsdale,West,Anna Andreadi,157.9200,5,0.20,17.7660000000000000,No
CA-2016-130575,2016-12-14,2016,12,14,4,50,3,2016-12-16,First Class,CS-11845,Cari Sayre,Corporate,OFF-BI-10002353,GBC VeloBind Cover Sets,Office Supplies,Binders,60623,United States,Illinois,Chicago,Central,Kelly Williams,9.2640,3,0.80,-13.8960000000000000,No
CA-2019-133256,2019-06-26,2019,6,26,2,26,3,2019-06-27,First Class,TH-21550,Tracy Hopkins,Home Office,OFF-PA-10001622,"Ampad Poly Cover Wirebound Steno Book. 6"" x 9"" Assorted Colors. Gregg Ruled",Office Supplies,Paper,48227,United States,Michigan,Detroit,Central,Kelly Williams,4.5400,1,0.00,2.0430000000000000,No
CA-2019-133256,2019-06-26,2019,6,26,2,26,3,2019-06-27,First Class,TH-21550,Tracy Hopkins,Home Office,OFF-AR-10003158,Fluorescent Highlighters by Dixon,Office Supplies,Art,48227,United States,Michigan,Detroit,Central,Kelly Williams,15.9200,4,0.00,5.4128000000000000,No
US-2019-109253,2019-08-21,2019,8,21,3,34,3,2019-08-22,First Class,PR-18880,Patrick Ryan,Consumer,OFF-AP-10002867,Fellowes Command Center 5-outlet power strip,Office Supplies,Appliances,94601,United States,California,Oakland,West,Anna Andreadi,203.5200,3,0.00,54.9504000000000000,Yes
US-2019-109253,2019-08-21,2019,8,21,3,34,3,2019-08-22,First Class,PR-18880,Patrick Ryan,Consumer,OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters. 4"" x 2""",Office Supplies,Labels,94601,United States,California,Oakland,West,Anna Andreadi,51.7500,5,0.00,24.8400000000000000,Yes
US-2019-128951,2019-07-15,2019,7,15,3,29,1,2019-07-17,First Class,RS-19420,Ricardo Sperren,Corporate,OFF-AP-10002191,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,Appliances,23434,United States,Virginia,Suffolk,South,Cassandra Brandow,179.9400,3,0.00,50.3832000000000000,No
US-2019-128951,2019-07-15,2019,7,15,3,29,1,2019-07-17,First Class,RS-19420,Ricardo Sperren,Corporate,FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables,23434,United States,Virginia,Suffolk,South,Cassandra Brandow,872.9400,3,0.00,157.1292000000000000,No
US-2019-128951,2019-07-15,2019,7,15,3,29,1,2019-07-17,First Class,RS-19420,Ricardo Sperren,Corporate,OFF-PA-10003177,Xerox 1999,Office Supplies,Paper,23434,United States,Virginia,Suffolk,South,Cassandra Brandow,12.9600,2,0.00,6.2208000000000000,No
CA-2019-133256,2019-06-26,2019,6,26,2,26,3,2019-06-27,First Class,TH-21550,Tracy Hopkins,Home Office,TEC-PH-10002660,Nortel Networks T7316 E Nt8 B27,Technology,Phones,48227,United States,Michigan,Detroit,Central,Kelly Williams,543.9200,8,0.00,135.9800000000000000,No
CA-2016-134278,2016-07-06,2016,7,6,3,27,3,2016-07-08,First Class,EP-13915,Emily Phan,Consumer,TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers,10011,United States,New York,New York City,East,Chuck Magee,559.9920,1,0.20,174.9975000000000000,No
CA-2019-107958,2019-07-02,2019,7,2,3,27,2,2019-07-05,First Class,AH-10120,Adrian Hane,Home Office,OFF-PA-10000357,Xerox 1888,Office Supplies,Paper,77036,United States,Texas,Houston,Central,Kelly Williams,163.9600,5,0.20,59.4355000000000000,No
CA-2019-107958,2019-07-02,2019,7,2,3,27,2,2019-07-05,First Class,AH-10120,Adrian Hane,Home Office,OFF-BI-10001787,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders,77036,United States,Texas,Houston,Central,Kelly Williams,5.2320,4,0.80,-8.1096000000000000,No
CA-2019-156958,2019-12-05,2019,12,5,4,49,4,2019-12-06,First Class,PB-18805,Patrick Bzostek,Home Office,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,Binders,98115,United States,Washington,Seattle,West,Anna Andreadi,83.9200,5,0.20,29.3720000000000000,Yes
